학교코드,지역,학교명
G107441266MS,대덕구,대전경덕중학교
G107441056ES,대덕구,대전대양초등학교
G107441016MS,대덕구,대전대청중학교
G107441017MS,대덕구,대전대화중학교
G107441057ES,대덕구,대전대화초등학교
G107441060ES,대덕구,대전동도초등학교
G107441062ES,대덕구,대전동산초등학교
G107441019MS,대덕구,대전매봉중학교
G107441064ES,대덕구,대전매봉초등학교
G107441066ES,대덕구,대전목상초등학교
G107441021MS,대덕구,대전법동중학교
G107441072ES,대덕구,대전법동초등학교
G107441075ES,대덕구,대전비래초등학교
G107441256ES,대덕구,대전새여울초등학교
G107430329HS,대덕구,대전생활과학고등학교
G107441079ES,대덕구,대전석봉초등학교
G107430132HS,대덕구,대전송촌고등학교
G107441022MS,대덕구,대전송촌중학교
G107441083ES,대덕구,대전송촌초등학교
G107441086ES,대덕구,대전양지초등학교
G107430357VH,대덕구,대전온라인학교
G107441025MS,대덕구,대전용전중학교
G107430113SS,대덕구,대전원명학교
G107430240HS,대덕구,대전이문고등학교
G107441095ES,대덕구,대전중리초등학교
G107441097ES,대덕구,대전중원초등학교
G107430349SS,대덕구,대전해든학교
G107441103ES,대덕구,대전화정초등학교
G107430039HS,대덕구,동대전고등학교
G107441110ES,대덕구,새일초등학교
G107441036MS,대덕구,신탄중앙중학교
G107430041HS,대덕구,신탄진고등학교
G107441113ES,대덕구,신탄진용정초등학교
G107441037MS,대덕구,신탄진중학교
G107441114ES,대덕구,신탄진초등학교
G107441038MS,대덕구,오정중학교
G107441115ES,대덕구,와동초등학교
G107441116ES,대덕구,장동초등학교
G107441040MS,대덕구,중리중학교
G107441047MS,대덕구,회덕중학교
G107441117ES,대덕구,회덕초등학교
G107430324HS,동구,계룡디지텍고등학교
G107441012MS,동구,대전가양중학교
G107441048ES,동구,대전가양초등학교
G107430241HS,동구,대전가오고등학교
G107441013MS,동구,대전가오중학교
G107441049ES,동구,대전가오초등학교
G107441051ES,동구,대전대동초등학교
G107441052ES,동구,대전대룡초등학교
G107430326HS,동구,대전대성여자고등학교
G107441263MS,동구,대전대성여자중학교
G107441055ES,동구,대전대암초등학교
G107441059ES,동구,대전동광초등학교
G107441063ES,동구,대전동서초등학교
G107430295HS,동구,대전동신과학고등학교
G107430110SS,동구,대전맹학교
G107441077ES,동구,대전삼성초등학교
G107441081ES,동구,대전성남초등학교
G107441085ES,동구,대전신흥초등학교
G107430036HS,동구,대전여자고등학교
G107441024MS,동구,대전용운중학교
G107441089ES,동구,대전용운초등학교
G107441090ES,동구,대전용전초등학교
G107441026MS,동구,대전은어송중학교
G107441093ES,동구,대전은어송초등학교
G107441094ES,동구,대전자양초등학교
G107441099ES,동구,대전천동초등학교
G107441101ES,동구,대전판암초등학교
G107441102ES,동구,대전현암초등학교
G107430111SS,동구,대전혜광학교
G107441104ES,동구,대전흥룡초등학교
G107441031MS,동구,동대전중학교
G107441105ES,동구,동대전초등학교
G107441106ES,동구,동명초등학교
G107441033MS,동구,동신중학교
G107430256HS,동구,동아마이스터고등학교
G107430056HS,동구,명석고등학교
G107430057HS,동구,보문고등학교
G107441034MS,동구,보문중학교
G107441107ES,동구,산내초등학교
G107441109ES,동구,산흥초등학교
G107441112ES,동구,세천초등학교
G107430140HS,동구,우송고등학교
G107441039MS,동구,우송중학교
G107441043MS,동구,충남중학교
G107441044MS,동구,한밭여자중학교
G107441045MS,동구,한밭중학교
G107451009MS,서구,가수원중학교
G107451057ES,서구,가수원초등학교
G107451010MS,서구,갈마중학교
G107451011MS,서구,기성중학교
G107451060ES,서구,기성초등학교
G107451061ES,서구,기성초등학교길헌분교장
G107430281SS,서구,대전가원학교
G107451065ES,서구,대전가장초등학교
G107451066ES,서구,대전갈마초등학교
G107451013MS,서구,대전갑천중학교
G107451067ES,서구,대전갑천초등학교
G107430033HS,서구,대전관저고등학교
G107451014MS,서구,대전관저중학교
G107451068ES,서구,대전관저초등학교
G107430237HS,서구,대전괴정고등학교
G107451016MS,서구,대전괴정중학교
G107430150HS,서구,대전구봉고등학교
G107451017MS,서구,대전구봉중학교
G107451071ES,서구,대전구봉초등학교
G107451072ES,서구,대전금동초등학교
G107451018MS,서구,대전남선중학교
G107451019MS,서구,대전내동중학교
G107451073ES,서구,대전내동초등학교
G107451021MS,서구,대전느리울중학교
G107451075ES,서구,대전느리울초등학교
G107430048HS,서구,대전대신고등학교
G107451022MS,서구,대전대신중학교
G107451023MS,서구,대전도마중학교
G107451077ES,서구,대전도마초등학교
G107451309ES,서구,대전도솔초등학교
G107451265MS,서구,대전도안중학교
G107451258ES,서구,대전도안초등학교
G107430034HS,서구,대전둔산여자고등학교
G107451026MS,서구,대전둔산중학교
G107451080ES,서구,대전둔산초등학교
